fid,app_id,app_name,reviewer,rating,review_text,review_date,thumbs_up,reply_text,scraped_at,translated_review_text,translated_reply_text,topic,nielsen_principles,nielsen_principles_explaination
f001,se.skanetrafiken.washington,Skånetrafiken,KevineN,1,always late incompetent idiots,6/30/2025 21:17,0,,2025-07-30T13:58:09.102304,always late incompetent idiots,,,,
f002,se.skanetrafiken.washington,Skånetrafiken,Tobias Alm,1,Det fungerar att blippa med mobilen (ej sprucken skärm) 1/5 gånger. Hade kört med kort men det kostar ju pengar för själva plastkortet. Rätt tråkigt om man bara ska ha det till sommarkortet.,6/30/2025 13:40,0,"Tack för recensionen! Testa gärna att ändra ljusstyrkan i ""Ljusstyrka på biljetten"" i Mer- tabben. På vissa telefoner har det funkat bäst med runt 30%. /Linus",2025-07-30T13:58:09.102304,It works to blip with the mobile (not cracked screen) 1/5 times.Had driven with cards but it costs money for the plastic card itself.Pretty boring if you just have it for the summer card.,"Thanks for the review!Try to change the brightness of ""brightness on the ticket"" in the merchant.On some phones it has worked best with around 30%./Linus",,,
f003,se.skanetrafiken.washington,Skånetrafiken,Александр «al1k» Старостин,1,can't register phone number can't pay without the number,6/25/2025 11:20,0,,2025-07-30T13:58:09.102304,can't register phone number can't pay without the number,,,,
f004,se.skanetrafiken.washington,Skånetrafiken,Jaume Adrover Forteza,1,"The trains and buses are delayed or have some problem almost daily. The prices are way too high and make no sense. Even the app does funny things every few months. Sincerely, they only stay in business because they have monopoly.",6/19/2025 0:53,0,,2025-07-30T13:58:09.103240,"The trains and buses are delayed or have some problem almost daily. The prices are way too high and make no sense. Even the app does funny things every few months. Sincerely, they only stay in business because they have monopoly.",,,,
f005,se.skanetrafiken.washington,Skånetrafiken,Teemu Jäntti,4,Not bad at all. Great addition would be a widget that shows you directly the QR code of your chosen ticket.,6/11/2025 5:11,0,,2025-07-30T13:58:09.103240,Not bad at all. Great addition would be a widget that shows you directly the QR code of your chosen ticket.,,,,
f006,se.skanetrafiken.washington,Skånetrafiken,Simon,1,En bugg i betallösningen hindrar mig från att betala med kort.,5/30/2025 11:35,0,,2025-07-30T13:58:09.103240,A bug in the payment solution prevents me from paying by card.,,,,
f007,se.skanetrafiken.washington,Skånetrafiken,Aleksandr Gruzintsev,5,"Very convenient app overall. Great job! The only bug(?) that irritates me a lot is the unpersonalized search. Scenario: I live in Malmö and never been in Ystad. I'm currently staying somewhere in Malmö and searching for the fastest way to Regementsgatan in the app (as I did previously many times), and the app suggests me a street with the same name in Ystad first.",5/23/2025 9:56,3,,2025-07-30T13:58:09.103240,"Very convenient app overall. Great job! The only bug(?) that irritates me a lot is the unpersonalized search. Scenario: I live in Malmö and never been in Ystad. I'm currently staying somewhere in Malmö and searching for the fastest way to Regementsgatan in the app (as I did previously many times), and the app suggests me a street with the same name in Ystad first.",,,,
f008,se.skanetrafiken.washington,Skånetrafiken,martin martin,1,buss did not come,4/28/2025 21:21,0,,2025-07-30T13:58:09.103240,buss did not come,,,,
f009,se.skanetrafiken.washington,Skånetrafiken,[;',5,Bra och simpel app med bra funktioner för de som vill. Ännu bättre nu med nya funktionen att kunna se alla avgångar (inkl. live) från en viss hållplats.,4/25/2025 19:02,0,Tack för återkopplingen! Kul att höra. /App-teamet på Skånetrafiken,2025-07-30T13:58:09.103240,Good and simple app with good features for those who want.Even better now with the new function to be able to see all departures (incl. Live) from a certain stop.,Thanks for the feedback!Fun to hear./The app team on Skånetrafiken,,,
f010,se.skanetrafiken.washington,Skånetrafiken,Maxim Paymushkin,5,"Vänligen åtgärda felet med busslinje 130. När man söker en resa från Lund Bankgatan till Malmö Värnhem visas endast bussar från linje 131. Det dyker också upp några märkliga alternativ med rutter som ligger 2–3 km bort, men inte en enda med buss 130.",4/17/2025 15:29,2,Thank you for the positive feedback! /Linus,2025-07-30T13:58:09.103240,"Please rectify the error with bus line 130. When looking for a trip from Lund Bankgatan to Malmö Värnhem, only buses from line 131 are displayed. There are also some strange alternatives with routes that are 2-3 km away, but not a single by bus 130.",Thank you for the positive feedback! /Linus,,,
f011,se.skanetrafiken.washington,Skånetrafiken,Marcelo Aguiar,3,"Getting better, but last update made the live traffic function less usable. Now the app never remembers which bus I chose, so I have to select it every time I use it. Not so quick and practical anymore.",4/15/2025 9:03,1,,2025-07-30T13:58:09.103240,"Getting better, but last update made the live traffic function less usable. Now the app never remembers which bus I chose, so I have to select it every time I use it. Not so quick and practical anymore.",,,,
f012,se.skanetrafiken.washington,Skånetrafiken,{Debasis & Chayanika}Sarbajna,5,wonderful,4/10/2025 7:41,0,,2025-07-30T13:58:09.103240,wonderful,,,,
f013,se.skanetrafiken.washington,Skånetrafiken,Accede'To Vegan Drivers Rodnry Zaxxs Af Vegan,5,"Excellente ,, Good for the climate , great staff , lots of information about schedules and delays , take time to learn but beats sitting in a car waiting for traffic",3/17/2025 22:54,0,,2025-07-30T13:58:09.103240,"Excellente ,, Good for the climate , great staff , lots of information about schedules and delays , take time to learn but beats sitting in a car waiting for traffic",,,,
f014,se.skanetrafiken.washington,Skånetrafiken,Frank,5,Riktigt najs💪,3/5/2025 17:23,0,,2025-07-30T13:58:09.103240,Really najs💪,,,,
