fid,reviewer,rating,review_date,thumbs_up,translated_review_text
f001,KevineN,1,6/30/2025 21:17,0,always late incompetent idiots
f002,Tobias Alm,1,6/30/2025 13:40,0,It works to blip with the mobile (not cracked screen) 1/5 times.Had driven with cards but it costs money for the plastic card itself.Pretty boring if you just have it for the summer card.
f003,Александр «al1k» Старостин,1,6/25/2025 11:20,0,can't register phone number can't pay without the number
f004,Jaume Adrover Forteza,1,6/19/2025 0:53,0,"The trains and buses are delayed or have some problem almost daily. The prices are way too high and make no sense. Even the app does funny things every few months. Sincerely, they only stay in business because they have monopoly."
f005,Teemu Jäntti,4,6/11/2025 5:11,0,Not bad at all. Great addition would be a widget that shows you directly the QR code of your chosen ticket.
f006,Simon,1,5/30/2025 11:35,0,A bug in the payment solution prevents me from paying by card.
f007,Aleksandr Gruzintsev,5,5/23/2025 9:56,3,"Very convenient app overall. Great job! The only bug(?) that irritates me a lot is the unpersonalized search. Scenario: I live in Malmö and never been in Ystad. I'm currently staying somewhere in Malmö and searching for the fastest way to Regementsgatan in the app (as I did previously many times), and the app suggests me a street with the same name in Ystad first."
f008,martin martin,1,4/28/2025 21:21,0,buss did not come
f009,[;',5,4/25/2025 19:02,0,Good and simple app with good features for those who want.Even better now with the new function to be able to see all departures (incl. Live) from a certain stop.
f010,Maxim Paymushkin,5,4/17/2025 15:29,2,"Please rectify the error with bus line 130. When looking for a trip from Lund Bankgatan to Malmö Värnhem, only buses from line 131 are displayed. There are also some strange alternatives with routes that are 2-3 km away, but not a single by bus 130."
f011,Marcelo Aguiar,3,4/15/2025 9:03,1,"Getting better, but last update made the live traffic function less usable. Now the app never remembers which bus I chose, so I have to select it every time I use it. Not so quick and practical anymore."
f012,{Debasis & Chayanika}Sarbajna,5,4/10/2025 7:41,0,wonderful
f013,Accede'To Vegan Drivers Rodnry Zaxxs Af Vegan,5,3/17/2025 22:54,0,"Excellente ,, Good for the climate , great staff , lots of information about schedules and delays , take time to learn but beats sitting in a car waiting for traffic"
f014,Frank,5,3/5/2025 17:23,0,Really najs💪
f015,Shell Uzo,1,3/1/2025 9:56,0,"When I have one or two bus replacements, I have to search for each exchange for each change because the entire search from the beginning only shows a exchange option while it is in reality possible to choose 2-3 buses most often.So you could have made the app smarter and show all possible changes.This is because you usually get fam to exchange bus stop earlier or later than scheduled time."
f016,Robert Adamson,1,1/30/2025 12:28,12,"Not showing correct departure time. When trains are delayed the information is shown to late, you have no chance to take an earlier train."
f017,Patrik Niklasson,5,1/23/2025 8:58,0,No issues so far!
